age,height_cm,weight_kg,preferred_foot,pace,shooting,passing,dribbling,defending,physic,power_stamina,power_strength,value_eur,overall,potential
32,180,78,Right,81.0,72.0,71.0,74.0,38.0,60.0,63,66,4400000,74,74
33,186,78,Right,53.0,32.0,46.0,56.0,77.0,71.0,43,81,2700000,74,74
31,183,87,Left,66.0,40.0,69.0,69.0,74.0,77.0,73,77,4100000,74,74
32,183,87,Right,66.0,44.0,54.0,59.0,75.0,81.0,72,87,3600000,74,74
32,184,76,Left,47.0,59.0,70.0,67.0,71.0,73.0,83,68,3700000,74,74
31,190,83,Right,37.0,37.0,56.0,52.0,76.0,73.0,63,77,4200000,74,74
33,182,78,Right,71.0,54.0,66.0,70.0,75.0,75.0,78,75,2700000,74,74
32,183,74,Right,65.0,72.0,72.0,77.0,33.0,68.0,69,71,4500000,74,74
31,183,82,Right,76.0,58.0,65.0,68.0,71.0,75.0,77,75,4100000,74,74
32,195,81,Right,32.0,32.0,57.0,58.0,78.0,67.0,51,74,3600000,74,74
33,190,90,Right,55.0,33.0,38.0,49.0,77.0,77.0,55,89,2700000,74,74
31,193,79,Left,37.0,76.0,62.0,66.0,46.0,75.0,32,91,5000000,74,74
31,183,80,Right,65.0,72.0,74.0,70.0,71.0,73.0,82,73,4300000,74,74
31,180,80,Left,77.0,75.0,71.0,73.0,29.0,78.0,80,79,5000000,74,74
30,191,85,Right,65.0,40.0,58.0,54.0,74.0,79.0,68,83,4600000,74,74
32,192,83,Right,62.0,76.0,54.0,65.0,38.0,77.0,66,85,4500000,74,74
32,173,66,Right,72.0,72.0,70.0,79.0,43.0,61.0,66,55,4400000,74,74
33,173,70,Right,66.0,59.0,73.0,70.0,70.0,74.0,84,66,2500000,74,74
31,189,90,Right,50.0,38.0,50.0,55.0,74.0,80.0,65,89,4200000,74,74
31,175,68,Left,74.0,71.0,71.0,81.0,34.0,52.0,58,49,4900000,74,74
29,185,79,Right,58.0,68.0,67.0,66.0,75.0,75.0,75,77,4600000,74,74
30,178,76,Left,77.0,73.0,70.0,75.0,48.0,77.0,82,73,5500000,74,74
29,185,73,Right,76.0,72.0,67.0,72.0,43.0,69.0,52,73,5500000,74,74
30,173,75,Left,77.0,69.0,72.0,72.0,70.0,67.0,74,60,4400000,74,74
31,165,64,Right,86.0,58.0,66.0,69.0,69.0,66.0,81,58,4100000,74,74
31,187,80,Right,53.0,59.0,70.0,66.0,73.0,75.0,64,79,4300000,74,74
32,185,79,Right,60.0,67.0,72.0,71.0,71.0,73.0,73,71,3700000,74,74
31,180,69,Right,74.0,66.0,69.0,74.0,70.0,71.0,74,70,4100000,74,74
31,186,75,Right,48.0,35.0,56.0,49.0,74.0,79.0,71,83,4200000,74,74
32,180,74,Left,66.0,48.0,66.0,65.0,75.0,73.0,65,74,3500000,74,74
30,189,90,Right,69.0,63.0,68.0,69.0,71.0,83.0,73,89,4600000,74,74
30,180,74,Right,62.0,63.0,69.0,69.0,71.0,79.0,87,76,4600000,74,74
28,182,72,Right,65.0,60.0,70.0,71.0,77.0,80.0,91,74,5500000,74,74
30,179,76,Right,63.0,57.0,72.0,74.0,63.0,77.0,90,68,5000000,74,74
32,190,81,Right,76.0,73.0,60.0,68.0,41.0,79.0,69,83,4500000,74,74
30,175,67,Left,73.0,75.0,65.0,74.0,43.0,66.0,66,72,5500000,74,74
28,182,81,Right,74.0,74.0,72.0,76.0,71.0,75.0,77,76,5500000,74,74
31,178,73,Right,39.0,64.0,70.0,65.0,73.0,73.0,72,70,4800000,74,74
32,177,76,Left,74.0,46.0,68.0,69.0,72.0,74.0,76,72,3500000,74,74
32,186,78,Right,42.0,35.0,49.0,56.0,74.0,77.0,68,80,3600000,74,74
29,184,83,Right,68.0,40.0,53.0,58.0,76.0,70.0,61,74,4700000,74,74
29,180,77,Right,73.0,67.0,74.0,75.0,70.0,67.0,65,65,4800000,74,74
30,183,86,Right,69.0,50.0,66.0,64.0,73.0,79.0,75,81,4600000,74,74
28,176,70,Left,80.0,68.0,74.0,78.0,43.0,71.0,62,75,5500000,74,74
31,185,75,Right,65.0,47.0,65.0,72.0,73.0,80.0,88,76,4300000,74,74
27,176,81,Right,72.0,70.0,71.0,77.0,58.0,77.0,84,71,6000000,74,74
28,178,68,Left,76.0,72.0,71.0,78.0,36.0,53.0,70,37,5500000,74,74
28,179,72,Right,67.0,67.0,74.0,78.0,33.0,56.0,72,52,5500000,74,74
31,176,73,Left,71.0,62.0,73.0,73.0,62.0,71.0,87,66,4900000,74,74
32,182,78,Right,63.0,64.0,74.0,76.0,72.0,77.0,79,77,4300000,74,74
30,177,69,Left,71.0,61.0,67.0,71.0,71.0,70.0,91,63,4400000,74,74
29,171,60,Right,80.0,65.0,70.0,76.0,70.0,62.0,64,57,4600000,74,74
28,186,85,Left,71.0,51.0,67.0,67.0,71.0,77.0,86,75,4800000,74,74
29,180,78,Right,85.0,74.0,62.0,72.0,30.0,72.0,71,73,5500000,74,74
31,189,86,Right,59.0,53.0,53.0,50.0,75.0,80.0,74,83,4200000,74,74
30,188,77,Right,59.0,46.0,59.0,61.0,75.0,76.0,72,77,4600000,74,74
35,180,76,Right,66.0,69.0,73.0,76.0,47.0,66.0,68,68,2500000,74,74
28,180,71,Right,73.0,69.0,73.0,73.0,70.0,73.0,84,67,5500000,74,74
28,190,88,Right,65.0,53.0,58.0,56.0,74.0,78.0,55,90,4900000,74,74
35,177,81,Right,54.0,74.0,72.0,77.0,28.0,71.0,49,77,2600000,74,74
32,178,74,Left,59.0,65.0,77.0,66.0,71.0,72.0,78,70,3700000,74,74
29,179,75,Left,72.0,60.0,71.0,71.0,69.0,67.0,73,62,4600000,74,74
30,176,75,Right,75.0,47.0,65.0,68.0,70.0,76.0,87,69,4400000,74,74
28,177,72,Right,86.0,57.0,65.0,73.0,69.0,66.0,80,60,4800000,74,74
31,178,73,Right,75.0,76.0,63.0,75.0,43.0,66.0,67,63,5000000,74,74
32,183,86,Left,67.0,63.0,66.0,62.0,73.0,78.0,70,79,3600000,74,74
28,184,82,Right,71.0,74.0,68.0,77.0,36.0,78.0,67,85,6000000,74,74
30,176,72,Left,79.0,68.0,71.0,73.0,59.0,68.0,78,65,5500000,74,74
29,170,64,Right,78.0,74.0,68.0,74.0,45.0,67.0,77,58,5500000,74,74
29,169,66,Right,61.0,64.0,77.0,73.0,65.0,68.0,71,66,5500000,74,74
28,186,85,Right,51.0,75.0,49.0,67.0,27.0,66.0,57,79,6000000,74,74
29,180,77,Right,54.0,47.0,67.0,71.0,69.0,76.0,83,73,4800000,74,74
28,185,80,Right,60.0,76.0,67.0,72.0,41.0,72.0,54,81,6000000,74,74
30,177,73,Right,81.0,73.0,68.0,76.0,48.0,73.0,81,70,5500000,74,74
29,190,83,Right,67.0,75.0,70.0,71.0,38.0,74.0,72,80,5500000,74,74
30,185,86,Right,37.0,32.0,47.0,46.0,75.0,78.0,62,86,4600000,74,74
29,174,70,Left,91.0,67.0,69.0,76.0,51.0,65.0,73,57,5500000,74,74
29,185,83,Left,73.0,33.0,52.0,59.0,76.0,74.0,69,73,4700000,74,74
27,178,72,Left,86.0,68.0,66.0,74.0,69.0,76.0,78,78,6000000,74,74
30,183,75,Right,59.0,31.0,44.0,59.0,78.0,67.0,49,68,4600000,74,74
29,183,74,Right,39.0,67.0,73.0,71.0,72.0,71.0,71,67,5500000,74,74
31,186,88,Right,59.0,69.0,73.0,71.0,71.0,75.0,70,78,4800000,74,74
27,180,79,Right,76.0,68.0,68.0,78.0,37.0,68.0,76,67,6000000,74,74
26,178,72,Left,75.0,64.0,67.0,72.0,70.0,74.0,70,71,5000000,74,74
30,186,84,Right,67.0,71.0,73.0,71.0,74.0,80.0,73,82,5500000,74,74
29,176,67,Left,75.0,59.0,68.0,70.0,67.0,67.0,89,55,4600000,74,74
28,180,80,Right,93.0,71.0,63.0,77.0,29.0,70.0,67,71,5500000,74,74
30,180,73,Right,71.0,75.0,73.0,74.0,38.0,67.0,78,61,5500000,74,74
29,170,66,Left,65.0,72.0,74.0,76.0,61.0,65.0,77,58,5500000,74,74
28,172,69,Left,74.0,69.0,72.0,79.0,48.0,65.0,69,57,5500000,74,74
30,179,78,Right,80.0,74.0,68.0,73.0,45.0,81.0,79,81,5500000,74,74
29,170,58,Right,82.0,60.0,66.0,77.0,67.0,50.0,73,31,4600000,74,74
30,178,80,Right,93.0,64.0,69.0,75.0,67.0,81.0,85,81,4400000,74,74
28,178,78,Left,81.0,74.0,73.0,75.0,41.0,73.0,66,77,6000000,74,74
31,173,73,Right,83.0,48.0,61.0,70.0,69.0,74.0,79,68,4100000,74,74
27,173,75,Right,73.0,69.0,71.0,77.0,34.0,67.0,75,67,6000000,74,74
30,180,80,Right,80.0,71.0,70.0,76.0,36.0,60.0,71,58,5500000,74,74
28,170,67,Right,92.0,67.0,68.0,75.0,32.0,60.0,75,49,5500000,74,74
28,165,65,Left,83.0,67.0,69.0,79.0,34.0,42.0,55,33,5500000,74,74
29,174,78,Right,78.0,75.0,58.0,74.0,28.0,60.0,66,61,5500000,74,74
29,175,73,Right,73.0,65.0,69.0,74.0,71.0,76.0,78,72,4800000,74,74
30,184,75,Right,59.0,62.0,56.0,62.0,77.0,66.0,56,68,4600000,74,74
36,172,66,Right,70.0,61.0,71.0,74.0,71.0,68.0,75,56,1000000,74,74
30,186,73,Right,67.0,72.0,74.0,70.0,69.0,76.0,73,72,5500000,74,74
29,186,83,Right,65.0,44.0,51.0,50.0,74.0,78.0,77,80,4700000,74,74
32,176,71,Right,75.0,62.0,74.0,70.0,69.0,49.0,81,36,3500000,74,74
28,180,75,Right,83.0,53.0,62.0,73.0,70.0,75.0,82,70,4800000,74,74
27,167,66,Right,89.0,74.0,68.0,76.0,36.0,63.0,74,57,6000000,74,74
28,188,77,Right,61.0,36.0,49.0,46.0,77.0,75.0,75,77,4900000,74,74
29,174,69,Right,86.0,70.0,67.0,78.0,30.0,62.0,78,64,5500000,74,74
30,189,84,Right,34.0,34.0,50.0,53.0,75.0,79.0,70,83,4600000,74,74
28,187,79,Right,65.0,51.0,62.0,67.0,72.0,79.0,92,76,5000000,74,74
28,174,72,Right,82.0,70.0,66.0,77.0,48.0,75.0,84,71,5500000,74,74
28,171,62,Right,86.0,58.0,68.0,70.0,68.0,64.0,78,58,4800000,74,74
30,167,65,Right,77.0,72.0,72.0,75.0,43.0,61.0,67,64,5500000,74,74
32,173,65,Left,77.0,72.0,73.0,75.0,62.0,61.0,72,53,4400000,74,74
28,178,75,Right,71.0,70.0,75.0,76.0,65.0,70.0,78,70,5500000,74,74
28,175,74,Left,75.0,70.0,74.0,73.0,46.0,66.0,79,60,5500000,74,74
28,176,70,Right,89.0,63.0,72.0,74.0,56.0,74.0,76,73,5500000,74,74
28,170,69,Right,88.0,71.0,65.0,76.0,36.0,66.0,74,63,5500000,74,74
29,175,75,Right,65.0,59.0,66.0,70.0,71.0,75.0,89,70,4800000,74,74
33,184,86,Right,63.0,51.0,72.0,70.0,70.0,82.0,84,84,2700000,74,74
33,193,91,Right,47.0,34.0,44.0,49.0,77.0,81.0,75,88,2700000,74,74
29,188,77,Left,72.0,72.0,54.0,70.0,41.0,74.0,68,73,5500000,74,74
26,180,78,Right,78.0,72.0,68.0,78.0,43.0,69.0,73,66,6000000,74,74
30,178,78,Left,80.0,63.0,74.0,76.0,66.0,76.0,82,81,4400000,74,74
30,180,75,Left,74.0,51.0,53.0,63.0,72.0,72.0,74,70,4400000,74,74
30,174,75,Left,79.0,68.0,67.0,72.0,69.0,84.0,86,82,4600000,74,74
30,190,83,Right,70.0,38.0,60.0,58.0,77.0,74.0,71,81,0,74,74
29,176,70,Left,85.0,59.0,67.0,74.0,66.0,76.0,88,71,4600000,74,74
27,171,75,Right,82.0,69.0,67.0,80.0,38.0,48.0,54,52,6000000,74,74
32,175,68,Left,80.0,72.0,70.0,76.0,42.0,48.0,57,38,4400000,74,74
30,188,88,Right,60.0,29.0,48.0,36.0,76.0,75.0,55,84,4600000,74,74
28,191,86,Right,64.0,76.0,57.0,61.0,29.0,68.0,44,88,6000000,74,74
27,178,73,Left,86.0,45.0,62.0,69.0,71.0,74.0,73,74,5000000,74,74
27,175,69,Right,75.0,65.0,72.0,77.0,54.0,61.0,68,58,6000000,74,74
27,180,70,Left,71.0,65.0,74.0,78.0,49.0,63.0,91,49,6000000,74,74
30,170,66,Right,78.0,65.0,72.0,76.0,49.0,62.0,78,67,0,74,74
28,175,70,Right,81.0,65.0,71.0,77.0,62.0,67.0,76,58,5500000,74,74
30,177,74,Right,77.0,68.0,71.0,74.0,74.0,70.0,84,66,4600000,74,74
27,181,69,Right,88.0,67.0,71.0,75.0,35.0,61.0,80,54,6000000,74,74
29,174,73,Right,91.0,65.0,70.0,73.0,70.0,78.0,94,73,4800000,74,74
27,175,62,Left,71.0,52.0,74.0,75.0,69.0,72.0,79,66,5000000,74,74
28,188,85,Right,75.0,71.0,66.0,74.0,56.0,76.0,74,80,6000000,74,74
28,179,73,Right,73.0,49.0,60.0,68.0,71.0,70.0,79,65,4800000,74,74
20,185,85,Left,59.0,50.0,61.0,59.0,73.0,76.0,50,85,5500000,74,74
28,179,80,Right,58.0,50.0,58.0,51.0,75.0,74.0,62,75,4900000,74,74
28,188,78,Right,56.0,50.0,61.0,49.0,76.0,75.0,69,75,4900000,74,74
28,181,78,Right,64.0,59.0,72.0,63.0,73.0,77.0,83,75,5000000,74,74
24,178,80,Left,71.0,53.0,65.0,71.0,72.0,73.0,79,70,5500000,74,74
32,174,74,Left,90.0,40.0,61.0,72.0,69.0,69.0,79,65,3500000,74,74
28,183,71,Left,70.0,56.0,71.0,71.0,72.0,69.0,85,62,5000000,74,74
28,183,77,Left,67.0,45.0,68.0,66.0,73.0,79.0,73,84,4900000,74,74
28,182,80,Right,51.0,42.0,49.0,57.0,76.0,76.0,69,79,4900000,74,74
28,182,82,Left,81.0,57.0,65.0,75.0,69.0,72.0,79,79,4800000,74,74
24,172,64,Right,74.0,46.0,68.0,75.0,69.0,58.0,78,46,5500000,74,74
24,188,77,Left,74.0,63.0,69.0,68.0,75.0,70.0,61,74,5500000,74,74
20,179,76,Right,72.0,72.0,65.0,67.0,74.0,71.0,78,70,5500000,74,74
32,176,76,Right,78.0,67.0,69.0,74.0,66.0,71.0,83,73,4400000,74,74
24,186,74,Right,69.0,69.0,74.0,73.0,73.0,70.0,73,69,5500000,74,74
28,185,80,Left,30.0,79.0,67.0,67.0,28.0,70.0,50,82,6000000,74,74
28,175,72,Left,65.0,69.0,73.0,77.0,35.0,54.0,61,61,5500000,74,74
24,180,74,Left,72.0,65.0,76.0,77.0,35.0,63.0,82,67,6000000,74,74
28,177,71,Right,70.0,73.0,73.0,75.0,26.0,63.0,73,57,5500000,74,74
28,180,76,Right,80.0,75.0,58.0,73.0,29.0,62.0,58,70,6000000,74,74
28,187,81,Right,67.0,75.0,68.0,71.0,38.0,77.0,83,79,6000000,74,74
27,181,77,Left,68.0,69.0,70.0,77.0,41.0,69.0,82,66,6000000,74,74
29,180,79,Right,57.0,72.0,77.0,71.0,66.0,66.0,71,69,5500000,74,74
28,178,75,Right,70.0,71.0,72.0,76.0,41.0,66.0,71,62,5500000,74,74
29,175,64,Right,91.0,63.0,70.0,72.0,38.0,54.0,77,43,5500000,74,74
30,166,56,Right,83.0,63.0,68.0,77.0,44.0,50.0,76,46,5500000,74,74
30,180,76,Left,70.0,38.0,59.0,67.0,71.0,76.0,87,73,4400000,74,74
24,186,85,Right,75.0,56.0,60.0,63.0,76.0,75.0,72,78,5500000,74,74
28,174,74,Right,72.0,57.0,63.0,69.0,72.0,74.0,83,67,4800000,74,74
28,172,69,Right,69.0,68.0,74.0,75.0,70.0,66.0,81,57,5500000,74,74
31,186,80,Right,70.0,63.0,70.0,75.0,71.0,81.0,83,82,4800000,74,74
28,170,67,Right,88.0,67.0,68.0,80.0,30.0,55.0,74,44,5500000,74,74
28,172,71,Left,76.0,59.0,63.0,65.0,70.0,74.0,87,70,4800000,74,74
19,171,62,Right,86.0,73.0,69.0,79.0,41.0,60.0,69,56,8500000,73,89
20,168,61,Left,87.0,63.0,64.0,75.0,36.0,56.0,76,51,9000000,73,88
20,193,87,Right,72.0,76.0,54.0,70.0,25.0,58.0,68,63,9000000,73,87
20,175,65,Right,82.0,61.0,65.0,78.0,55.0,58.0,68,58,7500000,73,86
20,170,67,Right,81.0,65.0,68.0,77.0,33.0,47.0,65,44,7500000,73,86
19,187,77,Right,79.0,47.0,61.0,74.0,70.0,71.0,72,71,6500000,73,85
20,180,66,Right,77.0,67.0,70.0,74.0,46.0,58.0,64,60,7000000,73,85
22,179,70,Right,70.0,68.0,70.0,80.0,41.0,53.0,65,40,7000000,73,84
22,182,78,Right,75.0,45.0,63.0,64.0,69.0,78.0,89,74,6000000,73,84
22,180,73,Left,83.0,61.0,66.0,77.0,27.0,54.0,64,52,7000000,73,84
22,173,75,Left,80.0,72.0,66.0,78.0,36.0,62.0,66,64,7000000,73,84
20,187,78,Right,59.0,45.0,63.0,66.0,75.0,72.0,71,74,6500000,73,84
22,194,88,Right,75.0,33.0,48.0,48.0,74.0,78.0,61,86,6500000,73,84
19,184,72,Left,84.0,64.0,69.0,73.0,69.0,78.0,85,79,6000000,73,84
21,187,77,Right,63.0,38.0,46.0,51.0,74.0,73.0,64,75,6500000,73,84
22,180,65,Right,62.0,66.0,71.0,69.0,62.0,66.0,78,68,6500000,73,83
20,178,69,Right,81.0,41.0,62.0,74.0,70.0,68.0,79,64,6000000,73,83
19,180,71,Right,81.0,68.0,71.0,77.0,48.0,64.0,75,58,6500000,73,83
21,174,63,Left,86.0,64.0,74.0,78.0,67.0,70.0,85,57,6000000,73,83
23,181,73,Left,66.0,46.0,64.0,70.0,72.0,70.0,67,71,5500000,73,82
21,182,72,Right,79.0,67.0,71.0,75.0,36.0,68.0,84,67,6000000,73,82
22,183,70,Left,87.0,39.0,50.0,72.0,70.0,69.0,76,67,5500000,73,82
23,170,69,Left,74.0,50.0,64.0,73.0,71.0,65.0,74,57,5500000,73,82
22,186,74,Right,71.0,63.0,69.0,82.0,65.0,63.0,69,65,6000000,73,82
23,185,76,Right,70.0,65.0,72.0,73.0,64.0,70.0,87,64,6000000,73,82
21,183,82,Left,88.0,69.0,68.0,74.0,43.0,70.0,81,66,6000000,73,82
20,176,71,Right,76.0,61.0,67.0,76.0,69.0,61.0,78,50,5500000,73,82
22,173,70,Left,74.0,72.0,72.0,74.0,53.0,53.0,65,46,6000000,73,82
18,175,74,Right,81.0,66.0,62.0,79.0,24.0,52.0,62,51,5500000,73,82
22,175,68,Left,78.0,53.0,67.0,71.0,71.0,65.0,69,66,5500000,73,82
22,184,73,Right,68.0,64.0,71.0,69.0,68.0,67.0,73,66,5500000,73,82
23,168,69,Right,90.0,73.0,65.0,75.0,35.0,70.0,78,61,6000000,73,81
23,170,66,Left,77.0,66.0,69.0,79.0,27.0,40.0,56,33,6000000,73,81
22,196,94,Right,70.0,55.0,57.0,66.0,73.0,82.0,80,87,5500000,73,81
23,179,72,Right,71.0,58.0,73.0,80.0,60.0,47.0,69,34,6000000,73,81
22,182,70,Right,88.0,74.0,62.0,73.0,37.0,65.0,76,71,6000000,73,81
22,183,84,Left,68.0,28.0,54.0,62.0,73.0,77.0,75,78,5500000,73,81
22,185,75,Right,76.0,36.0,64.0,70.0,73.0,73.0,68,75,5500000,73,81
22,183,80,Right,76.0,47.0,66.0,70.0,69.0,67.0,76,65,5500000,73,81
22,171,64,Left,77.0,56.0,71.0,71.0,68.0,61.0,68,56,5500000,73,81
22,185,78,Right,81.0,60.0,64.0,65.0,71.0,75.0,68,78,5500000,73,81
22,172,70,Left,75.0,69.0,71.0,78.0,39.0,57.0,76,56,6000000,73,81
22,191,75,Right,61.0,37.0,56.0,61.0,74.0,74.0,68,77,5500000,73,81
22,182,76,Right,65.0,55.0,66.0,69.0,68.0,76.0,72,77,5500000,73,81
23,180,71,Right,62.0,56.0,71.0,75.0,67.0,67.0,76,63,5500000,73,81
23,177,75,Right,65.0,56.0,66.0,69.0,71.0,71.0,70,71,5500000,73,81
21,184,83,Left,69.0,37.0,64.0,67.0,72.0,76.0,78,79,5500000,73,81
22,173,70,Right,70.0,68.0,73.0,75.0,59.0,65.0,75,60,6000000,73,81
24,180,82,Right,71.0,70.0,73.0,76.0,66.0,74.0,75,76,5500000,73,80
23,175,68,Left,76.0,74.0,69.0,73.0,24.0,71.0,74,69,5500000,73,80
22,170,66,Left,91.0,40.0,59.0,73.0,67.0,70.0,80,61,5000000,73,80
23,184,82,Right,86.0,61.0,68.0,74.0,70.0,73.0,75,75,5500000,73,80
24,182,76,Right,75.0,71.0,72.0,74.0,59.0,72.0,87,72,5500000,73,80
23,173,68,Right,66.0,68.0,73.0,74.0,59.0,56.0,67,50,5500000,73,80
24,181,76,Left,74.0,43.0,59.0,59.0,74.0,74.0,74,75,5000000,73,80
23,175,71,Right,78.0,44.0,60.0,69.0,68.0,77.0,87,74,5000000,73,80
22,185,79,Right,62.0,35.0,43.0,48.0,74.0,76.0,71,74,5000000,73,80
23,189,78,Right,65.0,39.0,45.0,60.0,73.0,74.0,67,76,5000000,73,80
23,180,67,Right,79.0,70.0,72.0,73.0,43.0,65.0,85,67,5500000,73,80
23,185,74,Right,63.0,55.0,66.0,73.0,71.0,65.0,72,61,5000000,73,80
21,177,75,Right,74.0,69.0,70.0,76.0,38.0,62.0,71,63,5500000,73,80
23,190,78,Right,75.0,32.0,57.0,60.0,72.0,78.0,73,84,5000000,73,80
22,171,63,Right,87.0,68.0,62.0,77.0,29.0,42.0,66,34,5500000,73,80
22,178,71,Right,79.0,67.0,66.0,76.0,40.0,59.0,72,56,5500000,73,80
24,186,80,Right,77.0,68.0,72.0,74.0,37.0,65.0,70,65,5500000,73,80
21,171,62,Left,86.0,66.0,70.0,79.0,49.0,50.0,73,32,5500000,73,80
23,184,75,Right,69.0,58.0,58.0,64.0,73.0,78.0,89,70,5000000,73,80
23,190,82,Left,53.0,61.0,74.0,71.0,68.0,71.0,71,73,5500000,73,80
23,180,75,Right,76.0,73.0,52.0,72.0,26.0,73.0,71,80,5500000,73,80
24,189,85,Right,64.0,33.0,53.0,48.0,76.0,75.0,71,78,5000000,73,80
22,185,78,Right,70.0,73.0,57.0,67.0,38.0,75.0,68,83,0,73,80
25,170,72,Right,68.0,57.0,71.0,70.0,69.0,68.0,75,61,4900000,73,79
25,182,74,Right,49.0,43.0,61.0,61.0,75.0,68.0,55,74,4900000,73,79
24,186,83,Right,66.0,36.0,54.0,64.0,74.0,79.0,83,77,4900000,73,79
24,185,70,Left,78.0,45.0,60.0,67.0,69.0,78.0,78,77,4900000,73,79
23,174,68,Right,61.0,55.0,66.0,65.0,70.0,74.0,85,68,5000000,73,79
24,167,60,Left,72.0,67.0,73.0,79.0,23.0,39.0,54,30,5500000,73,79
23,177,69,Right,79.0,73.0,62.0,79.0,30.0,60.0,54,67,5500000,73,79
24,171,66,Right,92.0,68.0,61.0,77.0,30.0,49.0,73,37,5500000,73,79
23,186,82,Right,69.0,73.0,71.0,75.0,56.0,68.0,76,65,5500000,73,79
23,182,74,Right,66.0,63.0,72.0,72.0,67.0,70.0,83,63,5500000,73,79
23,172,65,Right,88.0,68.0,64.0,74.0,37.0,67.0,92,66,5500000,73,79
22,173,68,Left,71.0,65.0,68.0,71.0,71.0,71.0,87,59,4900000,73,79
22,186,75,Right,71.0,56.0,67.0,67.0,68.0,76.0,92,69,4900000,73,79
22,181,72,Left,59.0,70.0,77.0,75.0,44.0,60.0,70,59,5500000,73,79
23,182,60,Left,84.0,51.0,69.0,71.0,67.0,72.0,76,70,4900000,73,79
23,175,74,Left,76.0,51.0,69.0,72.0,70.0,67.0,71,64,4900000,73,79
23,188,91,Right,57.0,62.0,71.0,69.0,70.0,86.0,87,90,5500000,73,79
23,183,69,Right,61.0,64.0,70.0,72.0,66.0,71.0,82,67,5500000,73,79
23,178,81,Left,67.0,72.0,71.0,74.0,34.0,72.0,68,82,5500000,73,79
24,184,76,Left,68.0,70.0,71.0,74.0,38.0,59.0,59,63,5500000,73,79
21,176,69,Right,72.0,64.0,66.0,74.0,71.0,73.0,78,72,5500000,73,79
23,178,69,Right,85.0,74.0,68.0,73.0,29.0,61.0,68,57,5500000,73,79
25,180,74,Left,71.0,40.0,61.0,69.0,71.0,67.0,72,61,4700000,73,78
25,181,69,Right,76.0,62.0,73.0,77.0,60.0,64.0,78,54,0,73,78
26,185,81,Right,68.0,32.0,50.0,58.0,73.0,77.0,71,78,4700000,73,78
23,180,67,Right,70.0,75.0,74.0,76.0,53.0,64.0,75,57,5500000,73,78
26,187,77,Right,57.0,58.0,68.0,68.0,73.0,72.0,76,72,4800000,73,78
24,186,81,Right,84.0,71.0,55.0,71.0,28.0,74.0,75,81,5500000,73,78
25,173,63,Right,75.0,53.0,69.0,73.0,71.0,69.0,83,62,4800000,73,78
26,186,72,Right,62.0,40.0,51.0,59.0,75.0,74.0,71,73,4700000,73,78
25,178,76,Right,76.0,50.0,67.0,66.0,71.0,79.0,77,76,4800000,73,78
25,173,71,Right,74.0,71.0,67.0,71.0,69.0,82.0,91,75,4800000,73,78
25,178,71,Left,74.0,62.0,70.0,72.0,69.0,65.0,72,60,4700000,73,78
24,185,78,Right,65.0,58.0,67.0,73.0,71.0,79.0,75,80,4900000,73,78
24,178,62,Right,75.0,54.0,66.0,71.0,69.0,70.0,80,66,4700000,73,78
24,180,75,Right,71.0,65.0,66.0,70.0,72.0,71.0,63,74,4900000,73,78
25,173,70,Right,76.0,57.0,66.0,74.0,68.0,76.0,77,75,4700000,73,78
23,178,72,Left,71.0,53.0,70.0,72.0,69.0,72.0,79,70,4700000,73,78
26,187,82,Right,78.0,62.0,68.0,63.0,70.0,83.0,84,84,0,73,78
25,192,88,Left,51.0,56.0,59.0,61.0,72.0,84.0,75,90,4800000,73,78
25,175,67,Right,75.0,61.0,70.0,80.0,63.0,63.0,79,53,5500000,73,78
23,170,64,Left,87.0,60.0,71.0,76.0,27.0,52.0,70,39,5500000,73,78
24,188,79,Right,61.0,56.0,69.0,65.0,74.0,63.0,64,68,4700000,73,78
23,193,79,Right,80.0,69.0,70.0,74.0,50.0,75.0,78,72,5500000,73,78
24,183,73,Left,71.0,64.0,74.0,75.0,70.0,70.0,73,69,5500000,73,78
24,183,75,Right,81.0,49.0,64.0,68.0,68.0,79.0,86,74,4700000,73,78
24,171,72,Left,82.0,60.0,64.0,70.0,67.0,68.0,79,64,0,73,78
24,189,83,Right,55.0,51.0,66.0,65.0,69.0,79.0,69,87,4900000,73,78
25,190,77,Right,45.0,63.0,64.0,64.0,72.0,73.0,78,76,4700000,73,77
26,181,74,Right,75.0,52.0,64.0,67.0,71.0,75.0,81,71,4600000,73,77
25,177,70,Left,57.0,65.0,71.0,80.0,38.0,66.0,73,65,5000000,73,77
25,183,79,Left,72.0,59.0,74.0,72.0,67.0,69.0,84,64,4500000,73,77
25,192,85,Right,74.0,48.0,54.0,60.0,75.0,71.0,65,77,4600000,73,77
25,194,84,Right,71.0,72.0,54.0,70.0,43.0,76.0,74,76,5000000,73,77
25,185,76,Right,74.0,30.0,52.0,61.0,73.0,76.0,80,72,4600000,73,77
24,175,71,Right,67.0,75.0,65.0,77.0,30.0,63.0,55,66,5500000,73,77
26,181,64,Right,70.0,45.0,63.0,70.0,72.0,75.0,77,73,4600000,73,77
25,183,75,Right,65.0,63.0,72.0,74.0,67.0,62.0,64,59,5000000,73,77
23,169,68,Left,74.0,68.0,72.0,81.0,54.0,49.0,49,44,5000000,73,77
25,193,90,Right,73.0,71.0,58.0,68.0,50.0,77.0,69,88,0,73,77
24,188,85,Right,59.0,31.0,55.0,59.0,74.0,72.0,67,76,4700000,73,77
